,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5,gender,education,age,completed
66136,2,4,4,4,5,6,2,5,4,1,1,1,5,6,6,4,6,2,2,2,6,2,5,6,2,1,1,21,1
66138,6,6,4,5,4,4,4,6,3,5,6,4,4,5,3,4,4,5,5,3,3,3,3,5,4,1,5,23,1
66139,4,1,6,6,5,3,5,6,5,4,4,2,5,6,1,2,2,5,4,4,5,4,4,5,5,1,5,23,1
66141,6,3,3,6,6,6,6,6,1,1,1,3,6,6,5,1,5,2,1,1,4,5,4,4,4,2,3,21,1
66144,1,6,6,6,5,4,4,4,2,3,3,3,4,5,3,1,2,2,2,2,5,2,4,5,3,2,3,20,1
66150,3,5,5,5,5,5,4,5,2,2,3,4,4,5,3,3,3,4,3,5,4,2,3,5,2,2,2,23,1
66151,2,4,5,6,5,4,2,5,4,5,1,4,4,5,5,2,4,2,4,3,6,1,6,6,1,1,5,37,1
66153,1,5,5,6,5,5,4,2,3,2,1,2,3,6,5,2,4,4,2,2,4,3,4,4,2,2,3,31,1
66156,2,5,5,4,5,4,4,5,2,2,2,2,5,6,6,5,5,5,4,3,5,5,5,6,4,2,3,28,1
66157,4,6,NA,6,5,6,5,5,1,4,1,1,2,6,5,1,1,1,2,1,5,6,4,1,2,2,3,22,1
66158,4,5,5,5,3,5,5,4,1,1,6,5,4,3,4,3,2,2,2,5,5,2,3,3,1,2,3,18,1
66161,2,5,5,4,6,5,3,6,2,4,4,2,3,1,4,1,1,1,3,2,6,4,4,6,2,2,2,53,1
66163,1,5,5,6,6,6,6,5,2,2,1,5,5,6,6,1,2,4,2,5,5,3,5,5,5,2,3,21,1
66164,2,5,5,6,6,4,NA,5,1,1,3,2,6,5,6,1,4,3,4,4,5,5,4,5,2,2,3,25,1
66169,1,5,6,6,4,6,5,5,2,4,5,3,4,5,3,1,2,4,3,2,5,2,5,6,1,2,3,36,1
66170,1,6,6,6,6,4,4,4,1,1,4,4,4,4,4,3,3,4,4,1,6,1,4,5,1,2,3,25,1
66171,4,4,4,5,4,3,1,2,5,5,4,5,3,2,3,4,4,5,5,6,6,1,5,6,2,2,1,18,1
66172,2,2,3,2,2,5,4,4,2,2,3,5,4,1,3,2,4,2,4,2,5,1,4,6,1,1,4,38,1
66173,1,6,5,6,4,1,6,6,1,5,4,6,1,1,6,2,5,2,5,4,4,5,5,6,1,2,NA,61,1
66176,2,6,5,6,4,5,4,4,4,6,1,3,3,4,4,2,2,4,6,1,3,3,5,6,2,1,2,48,1
66181,1,6,6,6,6,6,5,5,1,1,3,5,4,6,3,2,4,4,2,5,4,4,4,6,2,2,3,20,1
66187,1,4,4,3,4,2,3,3,3,5,4,4,4,4,4,2,2,1,3,1,6,2,4,6,4,1,5,29,1
66188,2,5,5,5,5,5,5,4,1,2,2,2,4,5,5,2,3,3,2,2,4,3,4,4,4,2,3,19,1
66190,1,5,4,4,4,4,5,4,1,3,1,4,4,3,5,5,5,4,3,4,NA,2,5,6,3,2,3,20,1
66191,3,5,4,2,2,4,4,5,1,2,3,3,5,4,6,3,4,4,3,3,6,2,5,6,1,2,3,21,1
66195,1,6,5,6,5,5,5,2,2,4,2,2,4,5,4,1,2,2,2,NA,6,2,5,6,2,2,3,19,1
66198,4,5,5,5,6,5,2,5,1,2,6,2,2,6,5,5,6,5,3,1,4,4,2,5,4,1,3,31,1
66199,2,4,4,5,4,5,5,4,2,2,4,5,3,4,4,2,2,2,2,3,4,5,4,4,3,1,5,26,1
66201,5,6,NA,6,6,6,6,6,1,1,6,1,3,5,6,6,6,1,1,1,6,6,4,4,4,1,3,34,1
66204,2,5,4,6,4,4,3,6,1,2,4,4,2,5,1,1,4,1,2,1,5,5,4,6,1,2,3,19,1
66205,2,6,6,6,6,4,5,4,1,1,1,2,4,6,5,1,3,1,1,2,5,3,5,5,5,2,3,19,1
66210,1,6,5,6,6,2,5,6,1,2,2,4,5,4,4,1,2,1,2,4,3,4,2,6,4,2,3,20,1
66212,1,6,4,3,5,5,3,4,4,4,4,4,4,5,3,1,3,5,4,4,5,1,5,6,1,1,2,34,1
66215,1,5,5,5,6,4,4,4,2,4,1,2,4,6,2,2,2,3,2,5,3,2,5,4,2,2,3,20,1
66216,2,5,6,6,6,4,5,3,1,2,3,1,4,6,1,5,4,2,6,5,6,1,5,6,2,2,2,28,1
66218,1,5,5,4,4,5,2,4,2,6,2,3,2,3,2,3,4,5,5,2,6,1,4,5,4,1,2,27,1
66219,4,4,4,4,2,5,5,3,2,5,3,4,2,2,4,4,5,4,4,3,5,1,5,5,1,1,5,36,1
66224,4,3,2,3,4,5,4,4,3,4,5,2,2,3,3,1,1,1,1,1,6,1,6,6,1,2,1,19,1
66225,1,5,3,4,5,5,5,5,2,3,4,2,3,5,5,1,2,1,2,1,4,6,3,4,4,1,4,26,1
66227,5,3,2,5,3,6,6,4,1,6,6,6,2,1,3,4,6,5,6,6,4,6,2,6,1,2,2,42,1
66231,4,5,6,6,5,5,5,6,1,4,NA,4,6,5,5,1,2,4,5,1,5,5,5,6,4,1,5,32,1
66233,1,6,6,6,6,5,4,4,2,3,4,2,6,6,6,2,1,4,1,1,6,1,5,5,3,2,3,31,1
66234,3,5,5,6,5,3,4,3,2,4,1,3,4,5,4,2,2,1,2,2,4,4,5,4,2,1,3,20,1
66237,5,5,6,6,5,5,4,5,2,2,4,5,4,2,3,6,5,5,3,1,5,6,4,6,4,1,3,19,1
66244,1,6,5,6,5,4,4,5,2,3,4,2,3,5,2,1,1,1,1,3,4,3,4,5,2,2,3,19,1
66245,3,4,4,4,4,5,5,4,4,4,5,5,3,3,4,3,4,4,4,4,3,1,4,5,3,1,4,24,1
66246,2,5,5,4,3,3,2,4,3,2,6,6,2,2,3,2,2,2,3,1,6,2,5,5,3,2,3,19,1
66247,2,6,5,6,4,2,3,3,4,5,3,4,3,4,2,3,5,4,4,4,3,5,3,6,4,2,3,22,1
66251,2,5,5,4,3,4,4,4,4,5,1,3,4,3,5,5,5,5,4,2,6,2,5,4,1,2,5,40,1
66253,4,6,4,6,5,4,6,5,3,2,4,4,4,5,4,2,3,4,4,2,4,1,4,5,3,2,3,24,1
66255,1,5,5,6,5,4,5,6,2,3,3,4,4,5,4,2,2,2,1,4,4,4,4,3,3,2,3,20,1
66256,3,5,5,3,5,6,4,4,3,5,5,4,3,2,4,2,3,4,5,2,3,3,5,5,2,2,4,31,1
66257,1,6,6,6,5,6,6,5,1,2,2,5,5,5,5,2,5,4,2,4,5,2,5,5,2,2,3,18,1
66259,2,5,5,6,NA,5,6,5,1,NA,2,NA,5,5,5,4,NA,4,2,1,5,1,5,5,1,2,3,26,1
66264,2,5,6,5,6,4,5,5,1,2,2,5,4,5,5,1,2,1,2,4,6,5,NA,6,2,2,3,25,1
66265,5,6,6,6,5,6,6,6,2,4,4,2,5,5,6,3,4,4,3,4,5,2,6,5,2,2,3,19,1
66266,1,5,4,4,4,6,4,5,1,2,6,4,1,2,2,1,1,1,5,1,4,1,5,5,2,2,3,20,1
66271,1,6,6,6,5,5,6,5,1,2,1,1,4,5,5,1,2,1,1,2,4,1,4,6,1,2,3,20,1
66272,2,6,1,6,5,4,6,5,2,3,2,3,5,1,4,4,4,2,3,2,4,4,5,6,2,2,3,20,1
66273,1,6,6,6,5,6,5,6,2,4,1,2,5,5,6,4,4,4,4,4,5,3,5,5,2,2,3,34,1
66274,3,4,6,6,6,3,3,2,3,3,1,1,5,6,4,4,4,3,2,5,5,4,6,4,2,2,1,16,1
66277,2,5,4,6,5,5,5,5,2,2,2,2,5,5,5,2,3,5,5,4,5,2,6,5,1,2,3,20,1
66278,1,6,5,1,5,3,2,2,4,6,5,5,3,4,5,2,4,4,5,2,4,4,3,6,1,2,4,24,1
66279,2,5,4,6,4,4,4,3,3,3,4,5,3,4,3,2,3,4,5,3,4,2,4,5,2,2,3,20,1
66281,1,6,6,6,5,4,4,4,3,1,3,3,5,5,5,3,3,1,1,2,5,3,5,4,2,2,3,19,1
66283,3,5,2,4,5,6,1,6,3,2,2,2,2,6,5,1,6,1,1,6,5,2,6,5,2,1,3,20,1
66286,1,6,5,6,4,6,6,6,1,2,4,6,2,1,5,5,6,6,4,6,4,4,2,5,2,2,3,27,1
66288,4,4,5,3,4,4,6,5,2,3,3,4,5,5,5,6,6,5,6,6,6,1,6,6,2,2,3,21,1
66289,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,4,3,4,2,5,5,4,4,5,1,5,28,1
66291,1,5,6,6,6,5,5,5,1,3,2,1,6,6,6,1,1,1,1,1,6,1,6,6,1,2,4,43,1
66294,1,5,6,5,5,2,6,3,1,5,2,3,5,4,4,1,2,1,2,1,4,2,5,6,2,1,3,19,1
66295,2,3,4,4,4,3,3,3,3,3,4,2,5,3,4,1,2,3,2,1,6,2,5,5,2,2,4,44,1
66297,1,6,5,6,5,4,4,3,4,5,4,5,4,4,3,3,4,1,2,3,6,2,5,6,2,1,NA,14,1
66299,1,6,5,6,6,4,3,4,3,5,2,4,4,5,3,3,3,1,3,2,5,4,3,6,2,2,3,18,1
66304,2,5,5,5,5,4,3,5,2,4,3,4,3,5,4,3,4,1,3,4,4,2,3,5,2,2,4,56,1
66306,3,5,5,6,4,4,4,4,2,4,2,3,4,5,5,1,3,2,2,3,4,1,3,4,4,2,2,20,1
66307,1,6,5,6,5,5,5,4,3,3,1,2,4,6,5,1,2,2,2,2,5,4,5,6,3,2,3,19,1
66309,4,4,5,4,4,6,6,1,4,6,2,5,4,1,2,5,5,3,6,5,5,1,6,6,1,1,5,51,1
66311,1,6,4,6,4,5,6,6,2,2,4,4,5,4,6,2,5,1,2,1,6,1,6,5,2,2,3,25,1
66312,5,6,6,6,5,5,4,3,3,4,4,5,4,6,3,1,2,5,2,2,5,3,5,6,2,2,3,20,1
66314,3,5,5,6,6,6,5,6,2,1,1,1,4,6,5,2,2,1,1,2,5,3,4,5,3,2,3,19,1
66317,3,3,2,6,2,5,5,5,3,3,5,5,4,2,5,2,1,1,2,1,4,1,4,5,3,2,NA,17,1
66318,2,6,5,6,5,5,5,5,2,4,3,6,4,3,5,3,5,5,4,6,4,4,3,6,5,2,3,20,1
66323,3,6,5,6,5,4,5,5,4,3,5,4,4,5,3,2,3,5,4,2,4,4,4,3,3,2,4,24,1
66324,2,5,4,4,4,3,2,4,2,4,2,3,4,5,5,3,4,4,4,3,6,1,6,6,1,2,3,20,1
66325,1,5,6,4,6,5,5,4,2,5,2,4,5,4,6,2,2,2,5,1,6,2,6,6,1,1,5,58,1
66326,2,5,5,6,4,5,5,5,3,2,2,6,2,2,5,1,2,3,2,3,NA,5,5,5,2,2,3,34,1
66329,2,5,4,6,5,4,4,4,2,3,2,3,5,5,5,2,2,2,2,3,4,3,4,4,3,2,3,20,1
66331,4,4,2,5,2,5,4,6,1,1,5,4,2,3,5,6,1,5,4,3,6,2,4,5,2,1,3,28,1
66337,1,6,6,5,5,2,1,2,5,5,1,2,5,5,4,1,3,3,3,4,6,1,6,6,1,2,5,25,1
66341,2,5,4,5,3,4,4,4,2,2,3,3,3,3,5,5,5,5,5,5,5,3,3,5,3,2,3,30,1
66344,1,6,6,6,5,4,2,2,4,4,2,1,4,6,5,2,3,2,1,2,6,2,5,5,1,2,3,49,1
66346,1,5,6,6,5,5,5,5,2,2,3,4,4,2,5,2,NA,2,4,4,6,1,6,6,1,2,5,26,1
66348,4,6,4,6,4,3,6,4,1,3,2,4,4,3,5,3,5,5,4,4,6,1,6,5,2,2,3,26,1
66349,1,6,6,6,6,5,6,6,1,1,6,4,1,4,1,1,1,1,2,6,5,4,4,1,6,2,3,48,1
66357,2,5,4,4,3,5,3,4,4,4,6,5,3,3,4,2,4,4,2,2,4,2,2,6,1,1,NA,17,1
66360,2,5,6,6,6,3,6,3,3,4,1,1,3,6,6,3,4,3,1,3,6,2,6,5,2,2,3,22,1
66364,1,6,6,6,6,1,1,5,2,6,1,1,1,6,6,1,1,1,1,1,6,1,6,6,1,2,5,45,1
66368,2,5,5,6,4,4,NA,2,3,4,4,2,4,5,5,1,2,2,2,1,4,2,5,4,2,2,3,17,1
66370,2,5,5,6,4,5,4,2,3,4,4,2,4,5,5,1,2,2,2,1,4,2,5,4,2,2,3,17,1
66371,2,5,5,6,4,5,4,2,3,3,4,2,4,5,5,1,2,2,2,1,4,2,5,4,2,2,3,17,1
66372,2,5,5,6,4,5,5,2,2,3,4,2,4,5,5,1,2,2,2,1,4,2,5,4,2,2,3,17,1
66373,2,5,5,6,5,5,6,2,3,3,4,2,6,4,2,3,3,5,6,2,6,3,6,6,1,1,2,22,1
66376,4,6,5,4,5,2,5,4,3,2,4,2,3,5,5,5,4,1,4,2,6,4,5,5,2,1,2,30,1
66381,6,2,5,2,2,4,2,2,4,3,6,6,2,1,4,1,2,2,1,1,6,1,5,6,3,1,3,19,1
66382,2,3,4,3,4,6,5,4,2,2,3,2,5,3,6,4,4,3,2,1,6,1,6,4,1,2,4,34,1
66389,3,5,4,5,2,4,5,2,3,2,4,2,4,4,6,3,4,4,2,2,5,3,4,4,3,1,2,52,1
66391,1,6,5,1,3,6,6,5,1,4,1,6,4,5,6,1,5,1,6,5,6,3,5,6,2,2,3,19,1
66392,1,6,6,2,5,4,5,4,1,1,NA,1,4,3,6,5,4,1,4,5,4,1,4,6,1,2,3,31,1
66396,2,5,4,5,4,4,4,4,3,4,2,4,4,5,3,4,4,4,4,3,4,2,5,5,2,1,3,21,1
66399,3,6,5,4,5,4,3,5,2,3,1,3,4,4,6,4,4,4,3,4,5,5,6,4,2,1,3,22,1
66402,6,5,5,3,3,5,4,4,1,3,6,4,3,2,2,1,3,4,5,3,5,2,4,5,1,2,3,21,1
66403,1,4,4,2,2,4,3,4,4,6,4,5,2,1,2,5,5,5,5,4,5,3,5,6,2,2,3,19,1
66404,1,6,6,4,4,5,5,5,2,4,4,4,4,4,4,3,4,3,3,3,6,1,5,6,1,2,5,30,1
66405,1,5,6,4,6,3,2,3,4,4,1,1,6,6,5,5,2,4,4,2,6,3,4,5,NA,2,4,32,1
66406,2,6,4,5,4,6,6,6,3,1,4,1,4,5,5,2,2,1,1,2,6,1,6,5,2,2,3,25,1
66408,2,5,6,6,5,6,6,5,1,1,4,1,5,6,5,2,2,2,1,2,6,3,6,5,4,2,3,18,1
66409,3,6,6,3,5,6,5,4,1,1,1,1,6,5,6,3,4,2,1,1,6,1,6,2,2,2,5,33,1
66410,2,3,4,2,3,3,5,4,4,6,6,4,2,2,4,4,5,5,5,2,5,3,5,5,1,1,4,30,1
66413,2,2,3,5,5,4,2,3,4,5,5,6,1,2,NA,2,3,2,4,5,6,2,5,6,2,2,4,47,1
66415,5,5,6,6,5,5,6,4,2,3,1,2,5,6,6,4,4,4,3,4,4,4,5,4,2,2,4,27,1
66419,4,4,5,4,5,3,3,3,4,4,6,2,4,5,4,3,4,5,3,2,3,4,3,4,4,2,3,39,1
66421,1,5,5,6,4,4,4,5,2,1,3,3,4,4,4,2,2,5,2,3,5,3,4,5,2,2,3,21,1
66425,1,6,3,3,4,6,3,6,NA,3,3,2,3,5,4,2,4,5,3,1,4,4,5,6,4,2,3,20,1
66429,3,5,4,6,4,5,5,5,2,2,4,4,4,4,4,3,3,2,4,2,5,2,4,6,3,2,3,20,1
66431,1,6,5,6,5,5,5,5,1,1,6,4,4,5,5,1,4,4,1,2,5,1,5,6,1,2,4,31,1
66434,2,2,5,5,5,5,5,5,2,2,2,2,5,5,4,2,2,2,2,2,4,4,4,4,3,1,3,18,1
66437,1,6,6,6,6,5,6,6,2,3,1,2,4,5,5,5,4,5,3,2,4,3,4,5,2,2,3,29,1
66438,1,6,5,6,5,3,4,4,2,2,2,4,4,3,3,2,2,1,4,3,4,2,4,4,3,2,NA,16,1
66439,4,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,20,0
66440,1,5,5,5,6,1,2,5,5,6,2,1,4,3,1,1,1,1,2,1,5,5,2,2,1,2,3,21,1
66441,2,5,6,6,5,4,4,4,4,4,2,4,3,5,3,1,3,3,3,5,4,3,4,5,1,2,3,20,1
66444,4,4,3,4,5,5,5,2,1,2,4,1,1,5,4,1,1,1,1,3,3,4,4,4,2,2,4,33,1
66445,3,6,6,6,2,3,5,5,2,3,1,2,5,6,5,2,4,2,1,2,5,5,3,4,3,2,3,19,1
66447,5,3,2,4,4,4,6,5,2,2,2,3,5,5,5,5,5,3,2,4,6,3,5,2,3,2,3,20,1
66450,4,5,5,4,5,4,5,5,2,2,2,2,4,4,5,2,2,2,2,2,6,2,4,5,2,2,5,51,1
66451,1,5,6,6,6,2,4,4,1,2,3,1,5,5,5,1,1,1,1,1,4,1,3,5,3,2,3,30,1
66459,3,5,4,4,5,4,3,5,3,3,5,4,4,4,4,3,5,2,2,2,4,2,4,5,2,1,3,20,1
66463,1,5,6,4,5,2,5,4,3,6,4,6,3,2,2,1,3,3,2,2,4,2,4,6,1,1,1,22,1
66464,1,4,5,6,4,4,5,5,5,5,6,5,4,5,3,4,5,3,6,4,6,4,4,4,3,1,1,18,1
66469,1,6,6,5,6,4,4,3,2,4,2,1,6,6,5,1,2,1,3,2,5,2,6,3,1,1,2,34,1
66472,4,4,6,6,5,6,4,4,4,6,1,3,5,5,4,1,2,3,6,2,2,3,3,5,5,1,1,23,1
66474,5,6,5,6,6,5,5,6,4,2,5,5,5,5,5,5,4,4,4,5,5,6,4,6,3,2,3,23,1
66475,1,4,5,3,3,6,6,4,2,6,1,4,4,2,2,3,4,2,6,5,6,6,6,6,3,1,2,29,1
66476,1,6,3,5,6,6,5,6,1,4,4,4,5,4,2,4,5,6,2,4,5,1,5,6,1,2,3,21,1
66483,1,5,5,6,6,5,5,4,1,2,3,1,4,5,4,1,2,1,2,2,4,5,4,5,4,2,4,24,1
66484,1,6,6,6,6,1,5,6,3,4,4,1,5,5,6,1,1,1,1,1,6,4,5,5,2,2,3,50,1
66485,4,5,4,6,5,4,6,5,1,1,2,3,4,6,5,1,1,1,1,1,5,1,6,3,3,2,3,24,1
66486,1,6,6,6,5,5,NA,5,1,2,3,2,3,3,2,2,2,1,2,4,3,2,5,6,1,2,3,42,1
66487,2,5,2,1,2,NA,5,4,1,6,3,5,2,3,5,1,5,5,2,1,4,3,2,2,4,2,1,25,1
66488,6,5,5,4,5,6,4,5,4,5,3,5,4,5,4,4,5,6,4,5,6,1,5,NA,1,2,2,26,1
66491,2,5,5,5,6,4,4,5,4,4,4,4,4,5,4,3,2,4,3,4,4,6,2,4,4,2,3,19,1
66492,2,5,5,6,4,2,2,4,3,2,3,3,2,4,4,2,2,2,3,4,3,2,4,4,2,2,3,39,1
66493,2,4,2,6,4,3,5,5,3,4,1,3,4,5,6,4,5,3,4,6,4,4,4,5,3,2,1,18,1
66495,1,6,6,6,6,6,6,4,1,4,1,2,5,6,5,2,3,3,2,4,5,3,4,5,1,2,5,42,1
66496,2,4,5,5,6,6,4,4,2,4,5,4,2,3,2,1,2,2,2,5,2,5,2,5,2,2,5,40,1
66497,3,4,5,5,3,4,5,5,3,3,5,2,2,6,2,3,2,3,4,2,3,5,3,4,3,2,1,20,1
66498,1,5,5,5,6,3,5,2,2,4,3,2,3,5,3,2,2,2,3,4,4,4,4,4,4,2,3,57,1
66499,2,2,2,4,1,5,5,5,2,3,4,5,3,2,4,3,5,2,2,4,6,2,3,6,1,1,3,19,1
66500,2,2,1,6,4,6,6,6,1,1,5,5,3,1,2,4,5,2,4,4,4,1,1,6,1,2,3,26,1
66501,1,6,5,6,4,5,5,5,1,2,3,3,3,4,4,2,3,3,1,2,6,2,4,5,2,2,3,22,1
66503,1,5,6,6,5,6,4,6,4,2,3,3,3,5,6,2,1,1,1,6,4,1,5,5,4,2,3,19,1
66504,3,4,4,2,5,6,6,4,2,5,2,2,5,2,5,6,5,6,6,6,5,6,4,6,5,2,2,29,1
66506,2,3,5,4,5,5,4,5,2,3,2,2,6,6,6,3,4,2,2,1,5,2,4,6,2,1,3,21,1
66507,4,4,2,5,3,6,6,6,1,2,5,3,4,4,2,2,2,1,1,1,3,5,3,5,4,1,3,18,1
66509,1,6,6,6,6,6,1,5,1,1,2,1,6,6,6,1,1,1,1,1,6,1,5,2,1,2,3,63,1
66511,1,6,5,6,4,6,5,5,2,4,2,6,2,3,5,1,4,4,4,3,5,3,6,6,1,2,4,25,1
66512,2,6,5,6,5,6,6,6,1,1,1,1,5,6,6,2,5,1,1,1,6,2,6,5,3,2,4,25,1
66513,2,NA,6,4,6,5,3,5,1,1,1,1,4,6,5,1,4,1,1,2,5,3,5,5,3,1,3,23,1
66514,2,5,3,6,3,4,3,3,5,4,6,6,3,3,1,1,2,3,4,1,4,2,4,5,2,2,NA,17,1
66517,2,4,4,5,5,6,6,5,2,4,3,4,3,2,5,4,5,5,6,5,5,2,4,6,1,2,4,48,1
66520,4,5,6,4,5,3,1,3,1,2,1,2,5,6,4,4,2,2,3,1,5,6,2,6,1,1,3,20,1
66522,3,5,4,6,5,5,5,4,2,3,1,1,4,6,5,3,3,5,2,3,5,4,5,5,3,2,3,19,1
66525,4,4,5,4,5,5,5,5,3,5,2,5,4,5,4,4,5,5,4,5,2,4,3,6,4,2,3,37,1
66526,1,5,6,5,4,5,5,4,1,3,2,2,3,5,5,2,2,2,1,4,3,4,4,4,2,2,3,20,1
66528,2,5,4,3,5,4,2,5,2,2,2,2,4,6,5,2,2,1,2,2,3,3,4,3,4,1,3,20,1
66529,1,4,4,5,6,6,5,6,1,1,2,2,6,5,5,2,4,3,1,4,6,1,6,6,1,2,3,33,1
66531,3,5,4,4,2,3,4,6,3,3,1,3,3,4,5,2,4,1,1,3,5,4,4,2,3,2,3,20,1
66532,3,4,4,5,3,5,5,5,3,3,3,4,5,4,5,3,3,4,4,4,5,3,5,4,3,1,3,18,1
66533,2,6,5,3,6,5,6,4,5,4,4,5,3,3,2,2,2,3,3,6,5,3,5,6,1,2,1,18,1
66534,2,6,4,6,4,5,5,5,4,6,3,4,4,4,5,4,4,2,2,2,5,5,5,4,4,2,3,20,1
66538,3,4,3,6,4,3,3,5,3,2,NA,4,3,3,6,3,2,3,2,5,6,2,6,6,2,2,4,36,1
66540,1,6,6,6,6,6,4,6,1,2,1,2,2,6,3,1,1,1,1,2,4,4,4,6,6,2,3,23,1
66545,2,4,3,2,4,5,5,5,3,5,4,4,4,2,5,4,4,5,5,4,5,3,4,6,3,1,3,25,1
66546,6,NA,NA,NA,4,6,NA,NA,NA,4,NA,4,NA,6,NA,NA,4,6,NA,NA,NA,4,NA,6,NA,1,NA,17,1
66549,2,5,6,6,6,5,5,5,4,4,1,1,5,6,5,1,1,1,1,3,5,5,5,5,1,2,3,48,1
66550,1,5,5,5,5,5,5,4,2,4,6,2,4,5,5,1,4,2,5,3,6,1,5,6,3,2,1,44,1
66551,2,5,5,2,5,5,5,4,3,3,2,3,3,3,5,2,4,2,4,3,4,3,4,5,3,2,1,46,1
66552,1,4,6,6,2,6,6,3,2,1,6,6,3,2,2,2,3,2,6,6,6,2,3,6,3,1,3,19,1
66553,4,6,5,6,6,4,5,6,1,1,2,2,5,5,2,2,2,6,3,1,6,1,4,3,4,2,3,23,1
66554,6,1,1,6,1,6,5,6,1,1,6,6,1,1,1,1,1,1,1,1,6,1,1,6,1,1,3,23,1
66560,3,5,NA,4,4,4,4,5,3,4,6,4,NA,2,4,2,3,2,3,2,4,3,4,4,4,1,2,20,1
66562,1,6,6,6,6,6,5,5,1,4,1,1,2,5,6,6,6,5,4,1,6,1,6,6,1,1,4,56,1
66563,4,6,2,2,4,5,4,4,2,4,2,NA,5,4,6,5,5,6,4,2,5,2,5,5,2,2,5,28,1
66564,1,4,4,1,6,5,4,4,4,6,1,1,4,6,6,5,6,4,6,6,5,1,6,2,4,2,1,17,1
66566,3,4,3,1,4,2,2,1,4,5,4,5,1,2,5,4,4,3,6,5,6,1,6,6,1,1,4,22,1
66568,5,4,5,6,3,4,5,6,2,1,1,3,3,5,6,4,6,4,4,4,6,6,6,3,4,2,5,25,1
66569,2,4,6,4,6,5,5,4,1,2,2,1,6,5,6,1,2,2,1,1,6,1,6,5,1,2,4,44,1
66570,4,4,4,4,4,4,5,4,4,5,2,4,5,4,4,3,5,3,3,4,4,5,4,5,3,1,3,36,1
66572,5,5,4,6,4,3,5,5,3,1,6,3,4,5,2,1,1,1,1,2,5,1,4,5,1,1,4,36,1
66574,4,4,3,4,2,3,3,4,5,5,3,5,4,4,5,5,5,4,5,5,4,4,4,6,4,1,3,26,1
66575,6,6,6,6,6,6,4,1,2,1,1,1,6,6,6,6,6,6,1,4,6,1,6,3,1,2,3,27,1
66576,1,6,5,5,5,3,4,6,4,5,1,5,4,5,4,5,5,5,6,6,5,4,4,5,2,1,4,27,1
66582,1,5,4,5,2,4,4,4,1,4,2,5,1,4,4,5,5,4,5,4,5,2,5,5,1,2,3,24,1
66583,1,4,4,2,2,5,3,6,2,6,5,6,1,1,1,5,6,6,5,6,5,5,4,6,2,2,5,33,1
66585,2,5,4,6,4,4,3,5,3,4,3,5,3,3,4,2,4,2,3,5,2,4,4,4,5,2,3,19,1
66588,1,6,6,6,5,4,6,6,1,3,4,4,5,4,6,2,2,2,NA,5,6,4,5,5,2,2,3,45,1
66589,3,4,5,6,NA,5,5,5,4,3,5,4,4,3,4,2,3,4,5,4,5,4,4,4,3,1,3,23,1
66591,2,3,3,5,4,5,5,3,3,4,4,4,4,5,3,3,4,5,4,4,4,3,4,5,2,2,3,22,1
66596,1,5,5,6,5,5,5,5,2,1,3,5,4,2,6,2,5,2,2,3,5,1,5,6,2,1,4,35,1
66598,2,6,6,6,6,5,6,6,1,2,1,2,5,6,5,1,2,2,2,4,5,3,5,6,3,2,3,20,1
66601,5,4,4,6,3,3,4,5,3,NA,4,3,3,2,3,2,4,4,5,3,5,3,4,4,3,1,3,42,1
66604,1,6,6,5,6,5,5,4,1,2,2,3,4,5,5,2,2,5,4,3,6,2,4,6,2,2,4,34,1
66605,4,4,6,3,6,5,5,2,4,6,2,3,6,6,4,3,4,5,2,3,6,5,6,6,1,2,1,24,1
66606,4,4,5,4,5,6,5,4,2,2,4,5,5,5,4,2,2,2,2,2,6,1,5,6,1,1,3,29,1
66607,2,6,5,6,5,4,6,5,3,3,2,3,4,5,4,2,3,4,2,3,5,3,4,5,3,2,3,21,1
66609,3,5,3,3,4,5,5,5,4,4,4,4,2,2,4,2,4,4,4,4,4,2,5,5,2,2,5,27,1
66610,5,4,4,5,2,4,5,3,5,6,2,6,2,5,4,5,6,4,5,4,4,2,5,5,2,2,2,22,1
66612,2,5,4,4,5,6,6,5,2,6,5,5,3,3,6,4,4,5,6,1,5,1,4,5,1,2,4,28,1
66615,2,4,5,6,4,5,5,2,3,3,2,NA,5,5,5,2,3,2,3,1,6,1,5,3,3,1,5,41,1
66617,4,5,6,6,5,6,6,4,2,4,2,4,5,5,5,2,4,2,4,4,6,1,5,6,1,2,5,48,1
66619,3,5,2,6,2,6,5,5,1,1,5,5,4,5,4,5,4,2,1,1,5,2,5,5,1,1,3,31,1
66620,1,5,5,5,5,5,5,4,3,6,5,6,4,5,4,5,6,4,5,6,5,2,5,5,2,1,4,52,1
66621,1,6,6,6,6,6,6,6,1,1,6,6,3,1,4,6,6,6,6,6,6,4,2,6,1,2,1,41,1
66622,3,4,5,5,4,4,2,2,5,5,1,1,4,6,5,4,5,4,2,4,4,1,3,3,2,2,4,22,1
66623,3,3,3,4,5,4,5,3,3,5,3,2,4,5,4,2,2,4,3,2,6,2,4,5,4,1,4,48,1
